gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group B,associate's degree,standard,none,73,89,84
male,group A,some high school,standard,none,64,75,74
male,group D,bachelor's degree,standard,completed,76,78,72
male,group C,some high school,standard,none,89,84,82
female,group B,associate's degree,free/reduced,completed,62,71,56
female,group D,high school,standard,none,62,68,70
female,group D,some college,standard,none,90,100,100
male,group D,high school,standard,none,78,86,79
female,group B,bachelor's degree,standard,none,59,71,77
male,group B,master's degree,standard,none,74,71,78
female,group E,some college,standard,completed,59,74,61
male,group E,high school,free/reduced,completed,59,63,57
female,group A,some college,standard,completed,70,92,86
female,group B,master's degree,free/reduced,completed,37,32,25
male,group B,some high school,free/reduced,completed,40,59,66
female,group B,associate's degree,standard,none,58,62,60
male,group E,high school,standard,completed,51,46,44
female,group D,bachelor's degree,standard,none,71,68,52
female,group C,some high school,free/reduced,none,52,51,56
male,group E,high school,free/reduced,none,45,51,41
male,group B,some high school,standard,none,88,95,96
female,group E,bachelor's degree,free/reduced,none,63,59,61
female,group A,high school,standard,completed,67,69,80
female,group B,master's degree,free/reduced,none,45,68,58
female,group A,master's degree,free/reduced,none,58,77,53
female,group B,bachelor's degree,standard,none,68,74,75
female,group E,some college,standard,none,49,51,66
male,group D,bachelor's degree,standard,none,72,75,85
male,group C,some college,standard,none,57,65,67
male,group A,high school,free/reduced,none,62,53,49
female,group E,some college,standard,none,57,56,63
female,group D,high school,standard,completed,94,79,71
female,group E,high school,standard,completed,66,72,76
male,group A,associate's degree,free/reduced,none,50,59,63
male,group C,high school,standard,none,78,76,84
female,group E,some college,standard,none,48,65,88
female,group B,associate's degree,standard,completed,69,59,62
male,group D,associate's degree,free/reduced,none,37,24,20
male,group E,high school,free/reduced,none,46,50,50
male,group D,bachelor's degree,standard,completed,69,81,67
female,group B,bachelor's degree,standard,none,77,96,90
female,group C,master's degree,standard,none,69,66,63
female,group C,associate's degree,standard,none,64,77,73
male,group B,high school,standard,completed,61,63,64
male,group D,bachelor's degree,free/reduced,completed,44,44,38
female,group E,high school,standard,completed,55,66,75
female,group B,high school,free/reduced,none,59,68,68
